"family","core","threads","rng_threads","rng_prefetch","avg_s","min_s","max_s","avg_speedup","avg_eff"
"modelopt","v1","1","1","65536","0,061205","0,060418","0,062318","1,000174","1,000174"
"modelopt","v1","16","1","65536","0,014075","0,013993","0,014178","4,348493","0,271781"
"new","v1","1","1","65536","0,063933","0,062829","0,065533","1,000325","1,000325"
"new","v1","16","1","65536","0,014397","0,01433","0,014439","4,440664","0,277541"
"modelopt","v2","1","1","65536","0,03393","0,033261","0,034778","1,000345","1,000345"
"modelopt","v2","16","1","65536","0,010358","0,010201","0,010457","3,276116","0,204757"
"new","v2","1","1","65536","0,038216","0,037283","0,039114","1,000384","1,000384"
"new","v2","16","1","65536","0,011655","0,01118","0,012074","3,282153","0,205134"
"modelopt","v3","1","1","65536","0,034634","0,034064","0,035532","1,000341","1,000341"
"modelopt","v3","16","1","65536","0,010684","0,010215","0,01096","3,244866","0,202804"
"new","v3","1","1","65536","0,03696","0,03665","0,037398","1,000074","1,000074"
"new","v3","16","1","65536","0,011407","0,010935","0,012021","3,24531","0,202832"
"modelopt","v4","1","1","65536","0,034059","0,033392","0,034421","1,000194","1,000194"
"modelopt","v4","16","1","65536","0,010806","0,010672","0,011032","3,152421","0,197026"
"new","v4","1","1","65536","0,036698","0,035908","0,037216","1,000241","1,000241"
"new","v4","16","1","65536","0,011308","0,010696","0,011668","3,250222","0,203139"
