"algo","max_bytes","max_length_str","n_fail","n_very_susp","n_unusual","verdict","elapsed_s","log_path"
"v1","68719476736","64 gigabytes","6","0","2","FAIL","538,3","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\v1.log"
"v2","68719476736","64 gigabytes","6","0","2","FAIL","543,4","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\v2.log"
"v3","68719476736","64 gigabytes","6","0","2","FAIL","592,9","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\v3.log"
"v4","68719476736","64 gigabytes","6","0","2","FAIL","671,2","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\v4.log"
"v5","68719476736","64 gigabytes","6","0","2","FAIL","657,1","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\v5.log"
"mt19937_64","137438953472","128 gigabytes","0","0","1","PASS","1282,2","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\mt19937_64.log"
"xoshiro256pp","137438953472","128 gigabytes","0","0","1","PASS","1156,9","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\xoshiro256pp.log"
"splitmix64","137438953472","128 gigabytes","0","0","0","PASS","1152,4","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\splitmix64.log"
"sprng_lcg64","1","1 gigabyte","313","3","1","FAIL","10,1","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\sprng_lcg64.log"
"mkl_mcg59_like","1","1 gigabyte","361","0","0","FAIL","11,1","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\mkl_mcg59_like.log"
"mrg32k3a","68719476736","64 gigabytes","1","0","1","FAIL","657,5","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\mrg32k3a.log"
"lehmer127_mersenne","137438953472","128 gigabytes","0","0","0","PASS","1407,3","C:\Users\tersi\Documents\Codex\2026-04-24\files-mentioned-by-the-user-poison\bench\bench_practrand_128GB\logs\lehmer127_mersenne.log"
